symbol,pnl,ret_pct,exit_reason,confirmed,tier,r72_pct,r24_pct,r6_pct,vr,entry_price,qty,ret_1h,ret_2h,ret_3h,ret_4h,mfe_1h,mfe_4h,mae_1h,mae_4h
COW/USDT,3882.56,13.37,pump_lock_2pct,False,B,42.0,39.0,30.0,6.8,0.87,33789.41,-1.96,0.63,13.48,13.48,3.03,18.2,-3.51,-3.91
COW/USDT,2735.2,6.04,pump_breakeven,False,A,54.0,51.0,12.0,5.5,0.96,48815.14,6.09,6.09,6.09,6.09,8.33,8.33,-0.51,-0.51
CETUS/USDT,-1781.27,-6.77,pump_3h_down,False,B,15.0,25.0,12.0,12.2,0.48,53682.74,-3.22,-5.69,-6.74,-6.74,1.27,1.27,-4.48,-7.41
COW/USDT,-7793.79,-8.09,pump_stagnation_exit,True,B,63.0,59.0,16.0,5.2,1.02,92294.2,-1.85,-2.36,-1.44,-0.89,0.1,0.1,-5.34,-5.34
ZEN/USDT,298.55,1.02,pump_lock_2pct,False,A,76.0,75.0,36.0,4.1,25.85,1407.95,0.53,-0.28,-0.48,1.03,3.74,10.36,-4.19,-6.12
COW/USDT,-414.94,-1.62,pump_stagnation_exit,False,B,17.0,41.0,32.0,4.4,0.9,25325.99,-0.67,-4.14,-0.29,0.06,0.45,1.79,-2.52,-5.96
MOVE/USDT,-6154.7,-13.48,pump_initial_stop,False,A,73.0,30.0,28.0,2.1,1.09,41406.03,-8.36,-13.42,-13.42,-13.42,0.16,0.16,-8.57,-13.89
LPT/USDT,-1013.55,-4.19,pump_3h_down,False,B,-0.0,20.0,13.0,3.0,14.99,1542.66,-0.87,-1.24,-4.2,-4.2,-0.05,0.09,-2.82,-4.61
AGLD/USDT,4415.98,5.9,pump_breakeven,True,B,26.0,33.0,26.0,10.5,1.64,47120.73,-2.49,3.12,0.01,-2.0,-0.05,4.15,-4.13,-4.13
QKC/USDT,1412.41,6.16,pump_breakeven,False,B,32.0,27.0,25.0,19.5,0.01,1890280.52,-1.43,0.87,6.33,6.33,1.85,9.98,-2.35,-2.35
USUAL/USDT,1670.14,7.19,pump_lock_2pct,False,B,-8.0,22.0,22.0,3.4,1.29,18578.45,1.0,-3.06,-0.33,7.19,3.09,11.63,-1.32,-3.24
CVX/USDT,-1078.19,-1.11,pump_stagnation_exit,True,B,17.0,24.0,14.0,2.5,4.85,16456.66,0.36,5.11,3.77,5.58,2.3,6.45,-0.98,-0.98
PHA/USDT,8537.16,35.78,pump_lock_2pct,False,B,16.0,26.0,18.0,9.4,0.15,158786.72,35.78,35.78,35.78,35.78,37.83,37.83,-3.62,-3.62
PHA/USDT,-3259.87,-10.6,pump_initial_stop,False,B,56.0,73.0,58.0,30.0,0.21,146946.2,-10.51,-10.51,-10.51,-10.51,0.53,0.53,-13.43,-13.43
PHA/USDT,836.35,4.32,pump_breakeven,False,B,33.0,36.0,30.0,53.8,0.17,119811.06,4.43,4.43,4.43,4.43,8.21,8.21,-2.0,-2.0
PHA/USDT,529.98,2.38,pump_breakeven,False,B,39.0,43.0,32.0,55.8,0.18,137205.24,2.44,2.44,2.44,2.44,9.33,9.33,-1.29,-1.29
LPT/USDT,1494.46,2.05,pump_stagnation_exit,True,B,23.0,21.0,18.0,2.6,18.38,4356.24,-3.36,2.4,3.54,0.02,0.95,6.63,-3.68,-3.68
BAT/USDT,-1346.18,-4.25,pump_3h_down,False,B,38.0,36.0,20.0,19.2,0.3,101390.22,-2.86,-1.79,-0.08,-2.83,3.1,3.1,-4.17,-4.33
PENGU/USDT,-2673.3,-2.88,pump_stagnation_exit,True,B,20.0,33.0,13.0,3.6,0.04,2379670.38,3.44,4.68,2.77,2.91,3.8,6.4,-1.29,-1.29
PHA/USDT,-1158.16,-4.27,pump_3h_down,False,A,76.0,74.0,19.0,3.9,0.21,122965.02,0.57,0.14,-1.9,-3.94,2.32,5.5,-1.71,-4.13
TURBO/USDT,-820.64,-2.6,pump_3h_down,False,B,38.0,28.0,16.0,3.3,0.01,2574411.66,-1.72,-2.32,-2.55,-2.55,1.88,1.88,-3.45,-4.5
STG/USDT,-244.34,-0.8,pump_stagnation_exit,False,B,25.0,19.0,13.0,20.5,0.37,66005.22,1.52,0.68,-1.0,-0.32,3.31,5.83,-0.24,-1.57
COW/USDT,-1922.89,-2.07,pump_lock_2pct,True,B,31.0,34.0,20.0,2.6,1.05,77001.91,4.28,6.13,8.44,7.58,5.65,14.4,-0.81,-0.81
STRAX/USDT,1250.9,5.41,pump_lock_2pct,False,B,6.0,19.0,13.0,5.2,0.08,312476.43,5.62,5.62,5.62,5.62,11.46,11.46,-0.1,-0.1
GMT/USDT,1846.8,6.61,pump_lock_2pct,False,B,42.0,45.0,22.0,2.6,0.19,147795.42,3.74,0.82,6.62,6.62,6.51,10.0,-1.79,-1.79
PHA/USDT,1718.26,10.65,pump_lock_2pct,False,B,103.0,37.0,38.0,2.3,0.37,44591.42,0.49,10.76,10.76,10.76,5.1,10.87,-3.03,-3.03
PHA/USDT,884.15,5.99,pump_lock_2pct,False,B,130.0,58.0,50.0,3.8,0.41,37405.91,-2.69,-1.81,-4.5,6.04,3.96,22.5,-5.82,-8.66
GMT/USDT,-2227.17,-4.33,pump_3h_down,False,A,52.0,56.0,18.0,3.0,0.21,236660.54,-1.54,-1.4,-3.85,-4.28,0.38,1.2,-4.52,-6.68
STEEM/USDT,-6511.25,-13.19,pump_initial_stop,False,A,63.0,66.0,32.0,2.2,0.36,135635.99,-13.09,-13.09,-13.09,-13.09,6.42,6.42,-15.71,-15.71
XVG/USDT,-4000.24,-4.47,pump_stagnation_exit,True,B,11.0,27.0,21.0,21.5,0.02,5363552.72,-3.68,-5.49,0.7,-1.3,0.07,0.89,-4.3,-7.64
HIVE/USDT,-1310.96,-1.46,pump_stagnation_exit,True,B,23.0,36.0,34.0,6.3,0.44,177278.36,-5.08,-4.18,-5.73,-1.36,2.25,2.25,-6.88,-8.03
DGB/USDT,-602.79,-2.45,pump_3h_down,False,B,7.0,20.0,18.0,27.5,0.01,1784471.72,0.19,-0.21,-1.23,-2.72,3.63,3.63,-0.99,-3.11
TAO/USDT,-983.04,-4.14,pump_3h_down,False,B,14.0,21.0,13.0,4.3,536.87,42.23,1.01,-1.41,-1.97,-4.09,1.4,1.89,-1.76,-5.41
AI/USDT,1610.85,7.39,pump_lock_2pct,False,B,11.0,20.0,13.0,6.5,0.67,33345.97,7.46,7.46,7.46,7.46,10.18,10.18,-0.38,-0.38
ACT/USDT,-3322.87,-4.21,pump_stagnation_exit,True,B,19.0,20.0,14.0,2.7,0.34,222783.04,-1.97,-2.62,-1.2,-1.65,-0.05,0.45,-2.35,-3.3
AI/USDT,-524.31,-2.14,pump_stagnation_exit,False,B,31.0,38.0,16.0,20.6,0.77,29160.43,2.8,1.73,2.83,0.74,4.0,4.23,-1.81,-1.81
DEXE/USDT,-5449.78,-5.33,pump_lock_2pct,True,B,45.0,23.0,22.0,4.2,18.55,4898.96,0.05,3.28,5.21,3.4,1.99,6.02,-2.09,-2.09
CETUS/USDT,-394.28,-0.35,pump_stagnation_exit,True,B,27.0,20.0,14.0,4.2,0.37,192860.44,0.0,-0.1,0.36,-0.05,1.28,2.25,-1.11,-1.11
SUSHI/USDT,-481.22,-2.05,pump_probe_kill,False,B,30.0,22.0,14.0,7.3,1.79,11936.66,-0.44,-0.61,-0.05,-2.9,0.4,1.35,-3.29,-3.29
KAVA/USDT,-1124.65,-5.15,pump_3h_down,False,B,31.0,22.0,12.0,6.7,0.58,36040.55,-2.28,-4.54,-5.09,-5.09,-0.05,-0.05,-2.96,-5.11
STEEM/USDT,-1553.4,-7.12,pump_3h_down,False,B,12.0,24.0,18.0,8.2,0.3,71384.99,-6.64,-5.96,-3.75,-6.33,0.79,0.79,-7.61,-7.61
AI/USDT,-2046.82,-2.73,pump_stagnation_exit,True,B,-1.0,21.0,14.0,2.4,0.75,92360.38,-1.13,1.11,2.09,1.28,0.42,2.92,-2.5,-2.5
AIXBT/USDT,-303.99,-1.28,pump_3h_down,False,B,20.0,37.0,29.0,4.0,0.57,36237.27,1.17,-0.16,-0.46,-1.27,3.66,3.66,-1.25,-2.75
CGPT/USDT,-515.6,-2.31,pump_probe_kill,False,B,21.0,22.0,17.0,2.3,0.38,53496.27,3.23,2.35,-1.87,-1.82,5.14,5.4,-0.36,-3.52
IOST/USDT,-733.69,-3.4,pump_3h_down,False,B,11.0,29.0,21.0,6.7,0.01,2476114.26,-1.47,-2.4,-3.36,-3.36,2.79,2.79,-2.29,-4.43
DEXE/USDT,-1973.13,-2.61,pump_stagnation_exit,True,B,2.0,18.0,16.0,4.3,16.12,4221.14,-0.49,1.0,0.13,0.13,0.8,2.17,-1.94,-1.94
SAGA/USDT,-1302.09,-6.32,pump_3h_down,False,B,22.0,25.0,24.0,22.2,1.54,13025.94,-3.55,-5.94,-6.29,-6.29,0.24,0.24,-5.01,-7.44
ALGO/USDT,-200.43,-0.81,pump_3h_down,False,B,23.0,20.0,15.0,4.4,0.45,44140.23,-1.39,-0.72,-0.74,-0.76,-0.05,0.22,-1.9,-1.9
ZEN/USDT,-963.81,-1.23,pump_stagnation_exit,True,B,34.0,36.0,22.0,2.5,30.9,2136.97,-0.44,1.34,1.05,1.6,1.73,6.04,-1.18,-3.16
RSR/USDT,-1209.41,-6.25,pump_3h_down,False,B,32.0,21.0,11.0,2.5,0.02,1200508.53,-3.4,-6.43,-4.17,-3.87,0.82,0.82,-5.6,-7.17
SPELL/USDT,3488.15,11.59,pump_lock_2pct,False,A,50.0,39.0,23.0,2.7,0.0,28501240.69,11.85,11.85,11.85,11.85,30.14,30.14,-2.72,-2.72
SPELL/USDT,-673.86,-3.27,pump_lock_2pct,False,B,66.0,58.0,38.0,6.5,0.0,16180819.5,-3.37,-3.37,-3.37,-3.37,10.1,10.1,-5.86,-5.86
SPELL/USDT,-2168.84,-6.7,pump_3h_down,False,A,61.0,51.0,35.0,8.4,0.0,27051796.79,-3.7,-6.61,-6.63,-6.63,0.22,0.22,-6.05,-9.17
PHA/USDT,-1664.17,-2.24,pump_lock_2pct,True,B,20.0,20.0,14.0,4.3,0.34,193093.73,2.03,2.23,3.75,4.04,3.11,7.34,-0.63,-0.63
LQTY/USDT,-548.78,-2.65,pump_3h_down,False,B,8.0,19.0,12.0,4.7,2.04,9454.92,1.08,-0.49,-0.44,-1.96,1.86,1.86,-0.64,-2.4
SPELL/USDT,592.73,3.5,pump_breakeven,False,B,33.0,40.0,15.0,2.1,0.0,15567534.25,3.55,3.55,3.55,3.55,8.55,8.55,-0.15,-0.15
HIVE/USDT,-1023.51,-5.13,pump_3h_down,False,B,22.0,23.0,17.0,2.2,0.48,40305.81,-1.18,-2.63,-5.11,-5.11,4.06,4.06,-2.13,-5.59
SPELL/USDT,-885.65,-3.86,pump_probe_kill,False,B,38.0,44.0,15.0,2.5,0.0,18253215.86,-4.44,-8.57,-6.75,-8.39,1.71,1.71,-5.66,-9.52
VTHO/USDT,-1451.35,-7.44,pump_initial_stop,False,B,-15.0,28.0,21.0,2.7,0.01,2927499.79,-6.47,-8.02,-7.33,-7.33,2.81,2.81,-6.87,-10.15
JASMY/USDT,645.83,3.8,pump_lock_2pct,False,B,12.0,23.0,11.0,2.1,0.03,620068.74,3.79,3.79,3.79,3.79,10.49,10.49,-0.08,-0.08
JASMY/USDT,1281.55,7.27,pump_breakeven,False,B,23.0,34.0,17.0,8.9,0.03,581711.71,7.39,7.39,7.39,7.39,9.7,9.7,-0.92,-0.92
JASMY/USDT,-596.87,-3.03,pump_probe_kill,False,B,34.0,41.0,26.0,10.8,0.03,553215.86,-2.05,-2.02,-4.89,-2.86,1.23,2.01,-4.41,-5.34
USUAL/USDT,1558.46,2.58,pump_lock_2pct,True,B,23.0,25.0,19.0,13.8,0.37,168646.15,0.78,-0.67,3.77,4.82,3.5,7.19,-0.59,-2.01
VTHO/USDT,-1913.72,-9.76,pump_3h_down,False,B,24.0,23.0,25.0,28.0,0.01,3177504.2,-1.16,-5.2,-9.78,-9.78,2.43,2.43,-1.57,-9.78
QTUM/USDT,-1372.82,-7.05,pump_3h_down,False,B,27.0,23.0,25.0,106.0,3.59,5271.95,-3.22,-3.97,-7.03,-7.03,2.96,2.96,-4.95,-8.18
NEIRO/USDT,-548.4,-2.7,pump_probe_kill,False,B,30.0,21.0,21.0,5.8,0.0,29694136.64,4.43,0.24,-1.44,0.55,4.73,4.73,-1.39,-3.25
QTUM/USDT,-688.26,-3.49,pump_probe_kill,False,B,-11.0,22.0,17.0,2.0,3.42,5459.21,2.96,0.65,-0.55,1.35,3.72,4.75,-1.54,-1.6
MBOX/USDT,-1363.94,-7.84,pump_3h_down,False,B,21.0,26.0,26.0,57.1,0.13,135565.93,-0.77,-5.48,-7.79,-7.79,7.77,7.77,-3.4,-8.83
GMX/USDT,-319.39,-1.52,pump_3h_down,False,B,20.0,20.0,15.0,6.9,20.37,910.88,-0.39,-0.34,-1.28,-1.47,0.83,1.03,-1.62,-1.72
ME/USDT,-1581.75,-9.16,pump_3h_down,False,B,38.0,49.0,24.0,7.8,1.84,9181.68,-0.65,-5.48,-9.06,-9.06,2.5,2.5,-3.47,-10.26
RPL/USDT,478.81,2.85,pump_lock_2pct,False,B,26.0,37.0,27.0,28.6,7.78,2320.78,3.16,3.16,3.16,3.16,15.62,15.62,-2.75,-2.75
RPL/USDT,735.56,5.15,pump_lock_2pct,False,B,21.0,35.0,23.0,48.9,7.61,1953.33,4.94,4.94,4.94,4.94,11.51,11.51,-1.23,-1.23
RLC/USDT,-776.9,-4.09,pump_3h_down,False,B,14.0,21.0,14.0,9.8,1.45,12475.9,-2.8,-1.56,-3.76,-4.11,0.57,0.57,-3.28,-5.0
CAKE/USDT,-1581.33,-7.07,pump_3h_down,False,B,41.0,45.0,20.0,2.1,2.04,10692.49,1.77,-3.83,-4.91,-6.98,3.93,3.93,-3.39,-7.47
GMX/USDT,-1273.36,-5.64,pump_3h_down,False,B,42.0,42.0,21.0,4.3,24.53,889.51,-3.15,-2.74,-4.7,-5.55,0.28,1.46,-3.76,-6.57
AIXBT/USDT,-261.06,-1.28,pump_breakeven,False,B,6.0,28.0,19.0,2.4,0.3,59512.53,-1.26,-1.26,-1.26,-1.26,9.26,9.26,-5.43,-5.43
LISTA/USDT,2538.86,12.19,pump_lock_2pct,False,B,48.0,41.0,43.0,23.0,0.25,83535.88,12.25,12.25,12.25,12.25,14.3,14.3,-5.69,-5.69
COOKIE/USDT,-2036.72,-9.94,pump_3h_down,False,A,64.0,65.0,32.0,6.0,0.26,76425.01,-3.66,-7.31,-3.7,-6.67,2.46,2.46,-5.45,-8.03
LISTA/USDT,-908.97,-4.03,pump_probe_kill,False,B,65.0,57.0,61.0,34.0,0.28,75511.16,-4.79,-6.65,-3.59,-7.28,2.83,2.83,-6.4,-9.0
RPL/USDT,1020.33,8.49,pump_breakeven,False,B,89.0,42.0,31.0,4.0,10.71,1150.94,8.54,8.54,8.54,8.54,9.85,9.85,-0.24,-0.24
CAKE/USDT,398.39,0.77,pump_stagnation_exit,True,B,44.0,19.0,12.0,2.1,2.01,35115.55,-0.7,-1.3,-1.15,3.99,2.44,4.19,-2.39,-3.29
RPL/USDT,-303.69,-2.25,pump_stagnation_exit,False,B,105.0,51.0,38.0,5.8,11.63,1067.51,2.79,-3.06,-1.08,-3.32,4.08,4.08,-4.09,-4.09
DODO/USDT,3146.24,17.92,pump_lock_2pct,False,B,23.0,21.0,19.0,27.7,0.1,170442.85,-0.15,-2.06,-1.01,17.98,2.73,39.09,-2.45,-3.5
DODO/USDT,-2821.17,-8.3,pump_3h_down,False,A,51.0,42.0,23.0,14.0,0.12,269869.25,0.28,-4.11,0.44,-0.38,4.01,4.01,-1.76,-5.01
ZEN/USDT,-1198.22,-8.61,pump_3h_down,False,B,44.0,26.0,26.0,2.8,16.09,846.09,-3.41,-4.65,-8.63,-8.63,1.75,1.75,-5.02,-8.81
CAKE/USDT,-694.44,-0.75,pump_lock_2pct,True,B,38.0,24.0,13.0,4.6,2.44,29162.8,3.52,9.06,7.95,5.98,5.45,13.65,-2.39,-2.39
JUV/USDT,75.44,1.72,pump_breakeven,False,B,111.0,108.0,110.0,242.6,2.19,2260.81,1.87,1.87,1.87,1.87,9.3,9.3,-0.87,-0.87
JUV/USDT,-315.03,-6.32,pump_3h_down,False,B,115.0,114.0,116.0,264.5,2.23,2165.4,-7.98,-4.17,-2.74,-5.16,2.68,2.68,-10.4,-10.4
TRUMP/USDT,-4271.12,-6.73,pump_lock_2pct,True,B,32.0,26.0,23.0,4.9,20.88,2799.07,0.05,3.25,13.31,10.01,2.68,17.72,-3.35,-3.35
API3/USDT,-1072.51,-6.17,pump_3h_down,False,B,17.0,19.0,13.0,28.4,1.07,15746.17,1.26,-4.81,-6.96,-6.68,2.01,2.01,-1.82,-8.08
S/USDT,3418.12,5.31,pump_lock_2pct,True,A,50.0,22.0,16.0,2.0,0.89,75270.74,-4.42,-2.39,-2.34,-2.6,0.95,0.95,-4.65,-4.87
JTO/USDT,1254.62,7.5,pump_breakeven,False,B,23.0,21.0,19.0,42.2,3.2,5383.49,-0.49,7.58,7.58,7.58,0.64,9.34,-1.74,-1.74
JTO/USDT,-1173.99,-6.58,pump_3h_down,False,B,30.0,29.0,25.0,46.6,3.44,5039.04,-3.16,-4.41,-6.56,-6.56,1.64,1.64,-3.57,-6.56
AIXBT/USDT,-1377.91,-7.82,pump_probe_kill,False,B,23.0,22.0,21.0,2.4,0.23,75905.75,-2.39,-1.55,1.54,0.48,4.98,4.98,-4.24,-4.91
NEIRO/USDT,-1820.84,-10.38,pump_initial_stop,False,B,28.0,22.0,14.0,2.2,0.0,41005069.37,-1.96,-7.88,-7.3,-10.34,2.33,2.33,-2.82,-10.95
PNUT/USDT,1066.03,3.42,pump_lock_2pct,False,A,47.0,39.0,23.0,5.2,0.2,162093.81,1.27,3.72,15.96,9.54,1.66,22.37,-2.5,-2.5
TST/USDT,-2723.94,-3.6,pump_lock_2pct,True,A,48.0,38.0,37.0,9.1,0.11,584329.34,-3.58,-2.17,-1.37,4.1,2.33,7.19,-7.56,-7.56
CETUS/USDT,-689.6,-5.44,pump_3h_down,False,B,22.0,20.0,13.0,6.2,0.15,81731.73,-1.72,-0.85,-2.99,-5.32,-0.05,0.68,-3.25,-5.72
GLM/USDT,-40.18,-0.05,pump_lock_2pct,False,B,10.0,24.0,20.0,20.1,0.37,44865.5,0.03,0.03,0.03,0.03,16.21,16.21,-1.94,-1.94
LPT/USDT,-1233.13,-7.33,pump_3h_down,False,B,4.0,24.0,16.0,3.6,7.74,2117.47,-5.74,-5.71,-3.5,-6.22,-0.05,-0.05,-6.72,-7.86
REZ/USDT,-1731.8,-8.88,pump_3h_down,False,A,52.0,43.0,13.0,4.1,0.02,798608.32,-1.31,-7.58,-8.79,-8.79,5.35,5.35,-2.52,-9.55
KAITO/USDT,-2155.26,-2.89,pump_lock_2pct,True,B,37.0,20.0,17.0,2.3,2.1,30870.76,-5.09,-1.82,-2.5,2.08,3.71,3.71,-6.47,-6.47
IOTA/USDT,-2501.55,-13.16,pump_initial_stop,False,B,46.0,48.0,41.0,13.1,0.3,63119.67,-13.09,-13.09,-13.09,-13.09,3.49,3.49,-14.6,-14.6
ALGO/USDT,-316.13,-1.83,pump_probe_kill,False,B,26.0,24.0,19.0,7.6,0.3,52884.92,-1.61,-2.15,-1.07,-2.66,4.25,4.25,-2.62,-4.18
IOTA/USDT,-1169.79,-2.1,pump_stagnation_exit,True,B,26.0,30.0,23.0,24.2,0.26,194011.53,-0.32,1.58,1.07,1.54,0.65,3.63,-3.34,-3.34
YGG/USDT,-1210.41,-7.84,pump_3h_down,False,B,29.0,32.0,23.0,36.8,0.3,50737.22,-2.81,-4.49,-7.82,-7.82,0.39,0.39,-2.98,-8.19
KAITO/USDT,-727.63,-6.19,pump_3h_down,False,B,-18.0,27.0,27.0,5.0,1.94,5880.59,-6.36,-0.99,-4.3,-6.12,0.07,2.1,-7.04,-8.26
REZ/USDT,-782.96,-5.12,pump_3h_down,False,B,10.0,32.0,36.0,41.9,0.02,621779.16,-0.98,-1.11,-5.16,-5.16,1.93,3.96,-2.75,-6.85
MOVE/USDT,-708.71,-4.66,pump_3h_down,False,B,-0.0,26.0,16.0,5.3,0.5,29335.08,-0.81,-3.68,-4.59,-4.59,0.71,0.71,-2.76,-5.29
BANANA/USDT,-1050.14,-5.84,pump_initial_stop,False,B,37.0,76.0,60.0,16.1,18.63,934.08,-4.08,-5.79,-5.79,-5.79,6.28,6.28,-6.55,-12.13
BANANA/USDT,-737.91,-6.82,pump_3h_down,False,B,29.0,56.0,52.0,24.8,17.56,599.5,-4.38,-4.78,-6.83,-6.83,2.68,2.68,-5.57,-7.91
AUCTION/USDT,-549.3,-2.96,pump_probe_kill,False,B,63.0,40.0,28.0,2.8,26.56,655.09,-1.59,-1.07,1.53,-4.15,3.53,3.53,-3.81,-4.49
VIC/USDT,663.92,11.99,pump_lock_2pct,False,B,19.0,41.0,20.0,2.7,0.28,20172.81,12.19,12.19,12.19,12.19,14.51,14.51,-3.23,-3.23
VIC/USDT,567.54,9.95,pump_lock_2pct,False,B,35.0,59.0,33.0,3.3,0.31,18599.79,9.94,9.94,9.94,9.94,13.33,13.33,-6.15,-6.15
VANRY/USDT,-1313.41,-9.09,pump_3h_down,False,B,2.0,24.0,17.0,2.9,0.03,471438.66,-4.05,-5.71,-3.71,-3.05,4.28,4.28,-6.38,-7.05
VIC/USDT,-569.98,-1.4,pump_lock_2pct,True,A,64.0,90.0,58.0,6.2,0.38,90088.85,3.01,3.38,4.61,-3.17,5.65,7.83,-9.42,-9.9
SOLV/USDT,-230.94,-1.44,pump_3h_down,False,B,24.0,22.0,17.0,7.0,0.05,278071.1,2.09,-0.03,-0.13,-1.38,2.62,2.62,-3.24,-3.24
RARE/USDT,-1050.73,-7.3,pump_3h_down,False,B,-6.0,34.0,19.0,8.0,0.12,120263.78,-3.57,-3.65,-1.34,-5.54,1.15,1.15,-5.11,-6.74
BANANA/USDT,-2546.75,-8.97,pump_3h_down,False,A,55.0,29.0,28.0,4.6,18.93,1468.51,-4.96,-5.76,-9.08,-9.08,5.66,5.66,-7.55,-9.93
PNUT/USDT,-495.92,-3.45,pump_3h_down,False,B,26.0,24.0,14.0,3.7,0.21,64193.24,-1.46,-2.45,-3.44,-3.44,1.74,1.74,-1.75,-3.73
ZRO/USDT,869.92,6.7,pump_lock_2pct,False,B,25.0,19.0,15.0,11.0,2.04,6557.38,6.7,6.7,6.7,6.7,11.3,11.3,-0.49,-0.49
SPELL/USDT,-341.86,-2.33,pump_3h_down,False,B,32.0,27.0,20.0,7.1,0.0,17440958.99,-1.42,-1.85,-2.21,-2.21,0.71,1.16,-1.66,-3.61
RED/USDT,-834.61,-3.3,pump_3h_down,False,A,46.0,53.0,20.0,2.9,0.85,28199.01,0.06,-2.32,-3.11,-3.2,2.21,3.15,-1.41,-7.15
CAKE/USDT,1495.29,5.8,pump_lock_2pct,False,A,51.0,35.0,15.0,8.7,2.44,10956.7,3.48,2.12,5.81,5.81,4.87,10.33,-2.31,-2.31
1000CHEEMS/USDT,774.73,6.01,pump_lock_2pct,False,B,26.0,19.0,17.0,26.2,0.0,11333393.85,1.73,3.51,5.21,6.06,2.5,10.05,-6.5,-6.5
NMR/USDT,-1692.32,-10.11,pump_initial_stop,False,B,47.0,50.0,44.0,44.9,12.89,1275.58,-10.14,-10.14,-10.14,-10.14,3.21,3.21,-11.46,-11.46
API3/USDT,2867.95,21.55,pump_lock_2pct,False,B,27.0,26.0,24.0,22.8,0.75,17868.87,-4.44,21.61,21.61,21.61,0.75,31.58,-7.89,-7.89
NMR/USDT,-1477.49,-9.03,pump_3h_down,False,B,37.0,42.0,35.0,59.6,11.98,1337.94,-6.73,-6.15,-8.32,-8.98,0.2,0.2,-7.48,-9.65
API3/USDT,-1861.75,-11.13,pump_3h_down,False,B,53.0,54.0,51.0,78.3,0.92,17971.71,-4.09,-3.98,-6.17,-10.97,2.46,4.54,-8.79,-12.18
ACX/USDT,-611.92,-5.05,pump_3h_down,False,B,39.0,24.0,15.0,11.9,0.36,32643.56,-0.72,-1.48,-5.03,-5.03,1.85,1.85,-3.21,-5.9
DOGS/USDT,-1312.54,-7.99,pump_3h_down,False,B,36.0,19.0,13.0,5.1,0.0,84421254.62,2.69,2.74,-3.21,-5.57,4.95,5.16,-0.1,-6.94
API3/USDT,956.76,6.25,pump_lock_2pct,False,B,42.0,42.0,38.0,13.1,1.23,12894.45,1.42,6.3,6.3,6.3,4.91,13.95,-1.03,-1.03
UMA/USDT,-553.91,-3.99,pump_3h_down,False,B,21.0,26.0,19.0,32.3,1.57,8442.88,3.01,-0.37,-2.67,-4.07,7.74,7.74,-1.96,-4.26
API3/USDT,-2431.53,-9.0,pump_3h_down,False,A,63.0,56.0,26.0,11.0,1.35,19631.1,-0.5,-1.46,-0.94,-4.87,1.88,1.88,-2.57,-5.84
UMA/USDT,-442.36,-3.22,pump_probe_kill,False,B,17.0,19.0,13.0,39.7,1.51,8598.74,-1.64,-3.64,-2.31,-2.18,0.75,0.75,-2.84,-4.03
ZRX/USDT,-944.43,-7.24,pump_3h_down,False,B,21.0,20.0,23.0,39.8,0.32,39810.07,-3.24,-5.65,-7.16,-7.16,0.86,0.86,-4.09,-7.6
ANKR/USDT,-705.35,-5.35,pump_3h_down,False,B,29.0,29.0,29.0,178.4,0.02,552254.44,3.73,-1.48,-3.48,-5.31,6.94,6.94,-1.22,-5.65
AIXBT/USDT,35.43,0.28,pump_lock_2pct,True,B,22.0,20.0,14.0,7.1,0.12,337039.04,4.48,9.57,8.44,4.56,6.99,12.57,-0.05,-0.05
FORM/USDT,-151.11,-0.81,pump_probe_kill,False,B,35.0,22.0,18.0,2.7,2.52,5944.08,0.86,-0.54,-1.9,-1.71,2.55,2.55,-1.65,-3.99
HIVE/USDT,-631.28,-4.88,pump_3h_down,False,B,18.0,20.0,15.0,31.5,0.28,44725.22,0.02,1.53,-1.06,-3.18,5.23,5.23,-2.56,-4.22
COMP/USDT,-1013.25,-9.61,pump_3h_down,False,B,27.0,33.0,28.0,91.4,51.39,201.17,2.58,-4.92,-6.76,-9.55,6.14,6.14,-1.53,-10.31
ARK/USDT,-553.05,-4.34,pump_3h_down,False,B,22.0,19.0,18.0,2.3,0.36,34028.67,-2.25,-2.81,-4.34,-4.34,2.07,2.07,-2.98,-5.07
PENDLE/USDT,-399.18,-3.1,pump_3h_down,False,B,28.0,23.0,13.0,2.0,3.4,3562.62,1.07,0.48,-0.67,-1.58,1.33,1.74,-0.11,-2.23
RENDER/USDT,-260.58,-1.95,pump_3h_down,False,B,21.0,19.0,15.0,2.3,3.4,3564.72,1.07,0.51,1.04,-0.58,1.3,2.27,-0.87,-0.87
LISTA/USDT,-467.03,-3.69,pump_stagnation_exit,False,B,18.0,25.0,24.0,5.8,0.15,79933.16,-7.23,-6.7,-5.3,-4.04,-0.05,2.41,-7.63,-7.63
GUN/USDT,-1142.21,-2.55,pump_lock_2pct,True,B,12.0,18.0,20.0,2.2,0.05,777753.26,-0.26,0.94,6.76,5.19,6.3,9.77,-2.55,-2.55
JASMY/USDT,805.42,3.62,pump_breakeven,False,A,61.0,30.0,19.0,2.3,0.02,1438310.18,3.74,3.74,3.74,3.74,8.38,8.38,-3.41,-3.41
JASMY/USDT,-1456.14,-5.92,pump_3h_down,False,A,65.0,29.0,19.0,3.6,0.02,1400869.44,-3.52,-5.82,-5.94,-5.94,2.42,2.42,-3.99,-7.41
1000CAT/USDT,-941.27,-6.42,pump_3h_down,False,B,35.0,26.0,22.0,10.1,0.01,2307638.65,-4.27,-5.73,-6.38,-6.38,1.25,1.25,-5.08,-7.03
