symbol,pnl,ret_pct,exit_reason,r72_pct,r24_pct,r6_pct,vr,regime,sig,entry_price,qty,ret_1h,ret_2h,ret_3h,ret_4h,mfe_1h,mfe_4h,mae_1h,mae_4h,high_1h,high_4h,low_below_entry_1h,low_below_entry_3h
JTO/USDT,983.62,0.77,pump_stagnation_exit,35.0,30.0,17.0,2.4,HOT,early,3.549074,48907.1,0.27,0.1,0.83,-2.32,1.83,2.37,-1.15,-2.41,True,True,True,True
PUNDIX/USDT,-8997.79,-4.97,pump_3h_down,42.0,40.0,16.0,6.0,WARM,early,0.763281,228179.75,-3.18,-4.62,-4.91,-4.91,0.0,0.0,-3.67,-6.98,True,True,True,True
1000SATS/USDT,-1346.69,-0.6,pump_time_exit,37.0,23.0,21.0,4.5,WARM,early,0.000341,495242678.99,3.62,7.73,6.76,9.9,5.7,11.22,-0.05,-0.05,True,True,True,True
HBAR/USDT,-13464.56,-17.44,pump_initial_stop,98.0,98.0,19.0,6.0,WARM,early,0.176988,431768.63,-17.4,-17.4,-17.4,-17.4,0.97,0.97,-18.64,-18.64,True,True,True,True
BONK/USDT,2088.38,1.69,pump_stagnation_exit,30.0,36.0,12.0,2.7,WARM,early,2.7e-05,5126164743.45,-2.8,-2.69,-2.87,-2.06,0.39,0.39,-3.2,-5.73,True,True,True,True
T/USDT,-9843.5,-7.14,pump_3h_down,21.0,26.0,17.0,2.5,WARM,early,0.042461,3162227.69,-1.32,-5.3,-7.04,-7.04,0.92,0.92,-2.38,-8.06,True,True,True,True
ETHFI/USDT,-3196.05,-2.27,pump_3h_down,21.0,31.0,15.0,5.4,WARM,early,4.415207,29295.99,-0.39,-0.77,-2.22,-2.22,1.92,1.92,-2.34,-3.4,True,True,True,True
PROM/USDT,-6424.95,-4.89,pump_stagnation_exit,16.0,20.0,13.0,43.9,WARM,early,10.736365,11758.25,0.2,-3.39,0.59,-2.32,2.69,2.69,-1.2,-5.04,True,True,True,True
TRB/USDT,74014.77,58.2,pump_trailing_stop,10.0,33.0,24.0,7.2,WARM,early,60.180075,2122.78,4.37,19.04,19.59,22.05,6.83,24.29,-0.35,-0.35,True,True,True,True
ASR/USDT,-11877.48,-7.16,pump_3h_down,21.0,33.0,33.0,76.2,WARM,early,4.276137,37781.96,-6.15,-5.12,-6.81,-7.11,0.32,0.32,-7.11,-8.96,True,True,True,True
LPT/USDT,-15542.55,-9.8,pump_3h_down,27.0,32.0,15.0,2.3,WARM,early,19.675833,7909.15,-4.59,-8.7,-9.82,-9.82,2.65,2.65,-4.81,-10.41,True,True,True,True
QI/USDT,16538.67,11.56,pump_profit_protect,12.0,23.0,14.0,13.0,WARM,early,0.017909,8134441.86,-3.07,11.51,11.51,11.51,1.85,20.55,-4.63,-4.63,True,True,True,True
GMX/USDT,-10976.57,-7.19,pump_3h_down,24.0,22.0,15.0,10.0,WARM,early,31.17558,4772.08,4.38,0.27,-1.53,-4.16,10.31,10.31,-0.05,-4.35,True,True,True,True
PEOPLE/USDT,-2850.17,-1.38,pump_time_exit,52.0,29.0,22.0,3.8,WARM,early,0.046133,3918051.11,9.49,6.84,7.65,10.59,11.01,14.73,-0.57,-0.57,True,True,True,True
